0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
50874,23,6,4,1532525350002,1532525350002,0,1,60,1532525350002,1532525350002,0,1,60,0,0,0,0,0,30,8,0,0
19110,81,6,4,1532525539003,1532525539003,0,1,60,1532525539003,1532525539003,0,1,60,0,0,0,0,0,31,10,0,0
33730,81,6,4,1532525370000,1532525370000,0,1,60,1532525370000,1532525370000,0,1,60,0,0,0,0,0,31,10,0,0
57084,81,6,4,1532525556003,1532525556003,0,1,60,1532525556003,1532525556003,0,1,60,0,0,0,0,0,31,10,0,0
53905,23,6,4,1532525451007,1532525451007,0,1,60,1532525451007,1532525451007,0,1,60,0,0,0,0,0,30,8,0,0
43763,29738,17,4,1525886698011,1525886698011,0,1,60,1525886698011,1525886698011,0,1,60,0,0,0,0,0,12,5,0,1
37077,53,17,4,1538633956680,1538633956904,224,2,174,1538633956680,1538633956680,0,1,87,1538633956904,1538633956904,0,1,87,0,0,0,0
34954,22,6,4,1547066047116,1547066047116,0,1,60,1547066047116,1547066047116,0,1,60,0,0,0,0,0,6,3,1,2
18637,23,6,4,1532525550005,1532525550005,0,1,60,1532525550005,1532525550005,0,1,60,0,0,0,0,0,30,8,0,0
36948,22,6,4,1547066049574,1547066049574,0,1,60,1547066049574,1547066049574,0,1,60,0,0,0,0,0,6,3,1,2
51160,6667,6,4,1545412067335,1545412068461,1126,13,1192,1545412067335,1545412068461,1126,7,545,1545412067351,1545412068419,1068,6,647,1,0,0,0
44320,50,6,4,1533066978712,1533067010807,32095,6,444,1533066978712,1533067010807,32095,6,444,0,0,0,0,0,2,2,0,0
52068,23,6,4,1532525442007,1532525442007,0,1,60,1532525442007,1532525442007,0,1,60,0,0,0,0,0,30,8,0,0
41777,22,6,4,1547066050810,1547066050810,0,1,60,1547066050810,1547066050810,0,1,60,0,0,0,0,0,6,3,1,2
34487,23,6,4,1532525381001,1532525381001,0,1,60,1532525381001,1532525381001,0,1,60,0,0,0,0,0,30,8,0,0
49673,22,6,4,1547066049961,1547066049961,0,1,60,1547066049961,1547066049961,0,1,60,0,0,0,0,0,6,3,1,2
46791,2323,6,4,1525886160012,1525886175040,15028,5,370,1525886160012,1525886175040,15028,5,370,0,0,0,0,0,12,5,0,1
44002,52869,6,4,1545336807676,1545336807676,0,1,60,1545336807676,1545336807676,0,1,60,0,0,0,0,0,5,3,0,0
5526,37215,6,4,1532101339811,1532101339811,0,1,60,1532101339811,1532101339811,0,1,60,0,0,0,0,0,7,3,0,0
0,0,1,4,1525880013393,1525880016557,3164,2,204,1525880013393,1525880016557,3164,2,204,0,0,0,0,0,5,2,0,1
40887,22,6,4,1547066048373,1547066048373,0,1,60,1547066048373,1547066048373,0,1,60,0,0,0,0,0,6,3,1,2
43763,52796,17,4,1525880848019,1525880848019,0,1,60,1525880848019,1525880848019,0,1,60,0,0,0,0,0,12,5,0,1
59434,22,6,4,1547066048265,1547066048265,0,1,60,1547066048265,1547066048265,0,1,60,0,0,0,0,0,6,3,1,2
43989,53,17,4,1538601633698,1538601633699,1,2,174,1538601633698,1538601633698,0,1,87,1538601633699,1538601633699,0,1,87,0,0,0,0
49518,22,6,4,1547066050505,1547066050505,0,1,60,1547066050505,1547066050505,0,1,60,0,0,0,0,0,6,3,1,2
5526,37215,6,4,1532101380225,1532101380225,0,1,60,1532101380225,1532101380225,0,1,60,0,0,0,0,0,7,3,0,0
60724,81,6,4,1532525384002,1532525384002,0,1,60,1532525384002,1532525384002,0,1,60,0,0,0,0,0,31,10,0,0
4316,23,6,4,1532525344000,1532525344000,0,1,60,1532525344000,1532525344000,0,1,60,0,0,0,0,0,30,8,0,0
43763,40681,17,4,1525880101016,1525880101016,0,1,60,1525880101016,1525880101016,0,1,60,0,0,0,0,0,12,5,0,1
6667,48986,6,4,1545445294854,1545447082103,1787249,69,5742,1545445294854,1545447082103,1787249,43,3501,1545445294855,1545447082087,1787232,26,2241,2,2,0,0
36892,50,6,4,1533102079547,1533102111616,32069,6,444,1533102079547,1533102111616,32069,6,444,0,0,0,0,0,2,2,0,0
58591,23,6,4,1532525506007,1532525506007,0,1,60,1532525506007,1532525506007,0,1,60,0,0,0,0,0,30,8,0,0
20253,23,6,4,1532525398005,1532525398005,0,1,60,1532525398005,1532525398005,0,1,60,0,0,0,0,0,30,8,0,0
45770,22,6,4,1547066049971,1547066049971,0,1,60,1547066049971,1547066049971,0,1,60,0,0,0,0,0,6,3,1,2
31054,23,6,4,1532525430009,1532525430009,0,1,60,1532525430009,1532525430009,0,1,60,0,0,0,0,0,30,8,0,0
5526,37215,6,4,1532101443445,1532101443445,0,1,60,1532101443445,1532101443445,0,1,60,0,0,0,0,0,7,3,0,0
57914,22,6,4,1547066050184,1547066050184,0,1,60,1547066050184,1547066050184,0,1,60,0,0,0,0,0,6,3,1,2
46664,50,6,4,1533113893250,1533113925374,32124,6,444,1533113893250,1533113925374,32124,6,444,0,0,0,0,0,2,2,0,0
34906,23,6,4,1532525390008,1532525390008,0,1,60,1532525390008,1532525390008,0,1,60,0,0,0,0,0,30,8,0,0
44742,22,6,4,1547066047251,1547066047251,0,1,60,1547066047251,1547066047251,0,1,60,0,0,0,0,0,6,3,1,2
56186,81,6,4,1532525420002,1532525420002,0,1,60,1532525420002,1532525420002,0,1,60,0,0,0,0,0,31,10,0,0
43763,45670,17,4,1525884138013,1525884138013,0,1,60,1525884138013,1525884138013,0,1,60,0,0,0,0,0,12,5,0,1
36097,37215,6,4,1545396012050,1545396012050,0,1,60,1545396012050,1545396012050,0,1,60,0,0,0,0,0,3,3,0,0
43763,39823,17,4,1525881097007,1525881097007,0,1,60,1525881097007,1525881097007,0,1,60,0,0,0,0,0,12,5,0,1
54592,57722,6,4,1532101577382,1532101577432,50,2,134,1532101577382,1532101577382,0,1,74,1532101577432,1532101577432,0,1,60,7,3,0,0
36097,37215,6,4,1545396019164,1545396019164,0,1,60,1545396019164,1545396019164,0,1,60,0,0,0,0,0,3,3,0,0
42590,81,6,4,1532525559002,1532525559002,0,1,60,1532525559002,1532525559002,0,1,60,0,0,0,0,0,31,10,0,0
47781,22,6,4,1547066048292,1547066048292,0,1,60,1547066048292,1547066048292,0,1,60,0,0,0,0,0,6,3,1,2
33021,22,6,4,1547066048450,1547066048450,0,1,60,1547066048450,1547066048450,0,1,60,0,0,0,0,0,6,3,1,2
5526,37215,6,4,1532101355337,1532101355337,0,1,60,1532101355337,1532101355337,0,1,60,0,0,0,0,0,7,3,0,0
58564,22,6,4,1547066046902,1547066046902,0,1,60,1547066046902,1547066046902,0,1,60,0,0,0,0,0,6,3,1,2
18344,52869,6,4,1536227048608,1536227048608,0,2,120,1536227048608,1536227048608,0,2,120,0,0,0,0,0,5,3,0,0
49498,22,6,4,1526764536941,1526764543950,7009,4,296,1526764536941,1526764543950,7009,4,296,0,0,0,0,0,4,3,0,0
43746,80,6,4,1545336818828,1545336818828,0,1,60,1545336818828,1545336818828,0,1,60,0,0,0,0,0,0,4,0,0
43763,1335,17,4,1525881589018,1525881589018,0,1,60,1525881589018,1525881589018,0,1,60,0,0,0,0,0,12,5,0,1
9317,23,6,4,1532525443005,1532525443005,0,1,60,1532525443005,1532525443005,0,1,60,0,0,0,0,0,30,8,0,0
57390,22,6,4,1547066047825,1547066047825,0,1,60,1547066047825,1547066047825,0,1,60,0,0,0,0,0,6,3,1,2
36097,37215,6,4,1545395824045,1545395824045,0,1,60,1545395824045,1545395824045,0,1,60,0,0,0,0,0,3,3,0,0
18506,81,6,4,1532525390003,1532525390003,0,1,60,1532525390003,1532525390003,0,1,60,0,0,0,0,0,31,10,0,0
